LREN3,RADL3,MGLU3,VIIA3,AMER3
37.89,25.89,21.45,13.25,51.01
37.95,26.19,21.53,13.27,52.12
38.02,25.82,21.72,13.2,51.03
37.27,25.07,20.6,12.59,48.28
37.61,25.26,20.63,12.73,50.42
37.85,25.59,20.43,12.56,48.18
37.43,25.25,19.96,12.25,46.99
37.2,25.7,20.46,12.16,46.86
37.18,25.82,20.68,12.35,45.73
37.1,26.52,20.49,12.71,45.5
36.59,25.98,20.4,12.8,44.4
36.82,24.95,20.91,13.02,44.94
36.39,25.63,20.97,12.07,46.05
36.85,25.7,20.27,11.3,42.42
35.88,25.58,19.42,10.61,40.34
35.63,25.23,19.31,10.6,39.55
35.19,25.13,18.84,10.75,39.27
35.6,26.04,18.95,11.2,40.14
35.37,26.49,18.86,11.27,40.26
34.34,26.32,18.13,10.8,38.55
35.1,25.62,19.24,11.3,42.28
35.48,25.81,19.55,11.27,41.71
34.21,25.54,18.8,10.89,42.51
34.48,25.67,19.03,10.87,41.36
34.27,25.7,18.88,10.76,42.47
34.34,25.38,18.24,10.39,40.67
33.84,26.08,18.68,10.27,42.34
32.96,25.26,18.01,9.64,40.63
33.5,25.91,18.9,9.62,41.18
33.5,25.98,19.48,9.95,43.42
31.75,25.21,18.79,9.02,39.44
32.31,25.66,18.85,9.5,40.17
32.64,25.37,17.18,9.02,38.84
33.54,25.89,17.44,9.2,40.71
33.73,25.82,17.03,9.05,40.54
33.2,25.64,16.62,8.78,38.92
33.61,25.92,16.37,8.69,37.13
32.98,26.13,16.57,8.46,36.15
32.22,25.77,16.05,7.89,34.87
32.98,25.47,16.39,8.78,36.2
33.13,25.13,16.34,8.57,35.85
33.67,25.27,15.87,8.59,34.91
33.47,25.21,15.63,8.5,33.67
32.45,24.68,15.01,8.1,32.84
30.99,24.06,14.18,7.91,30.81
31.21,23.88,13.94,7.86,30.67
31.15,23.21,14.34,7.71,30.41
32.78,23.24,14.55,8.29,31.5
31.06,22.07,13.71,7.7,28.88
30.98,22.14,13.68,7.85,29.98
30.59,22.4,14.46,8.12,32.18
30.56,22.91,14.03,7.79,31.36
